,sender,receiver,time
214,Ike08,Ike07,975.1098533333334
215,Ike13,Ike02,981.7327283333333
216,Ike13,Ike17,982.5864408333333
217,Ike17,Ike13,982.6417566666667
218,Ike22,Ike15,984.1655638888889
219,Ike15,Ike13,985.1138613888888
220,Ike15,Ike22,985.1208425
221,Ike15,Ike13,985.5182572222222
222,Ike15,Ike06,985.5498377777777
223,Ike13,Ike15,987.5286541666667
224,Ike08,Ike09,990.1846527777777
225,Ike15,Ike03,1009.9591016666667
226,Ike13,Ike17,1025.10607
227,Ike12,Ike13,1025.4813655555556
228,Ike22,Ike02,1026.1346
229,Ike22,Ike02,1026.3801941666666
230,Ike22,Ike11,1026.3891991666667
231,Ike02,Ike22,1026.3987761111111
232,Ike22,Ike02,1026.5202208333333
233,Ike22,Ike02,1027.1951244444444
234,Ike22,Ike06,1027.7803991666667
235,Ike02,Ike06,1027.7832116666666
236,Ike20,Ike05,1027.8871444444444
237,Ike20,Ike06,1027.912831111111
238,Ike05,Ike06,1028.6922475
239,Ike02,Ike04,1028.8845580555555
240,Ike04,Ike02,1028.8907463888888
241,Ike22,Ike11,1029.6210261111112
242,Ike22,Ike02,1029.6584919444444
243,Ike13,Ike11,1030.4139480555555
244,Ike03,Ike06,1031.1988105555556
245,Ike12,Ike14,1031.2510119444444
246,Ike12,Ike06,1031.3054925
247,Ike03,Ike15,1031.6632922222223
248,Ike03,Ike15,1031.6980405555555
249,Ike01,Ike06,1032.152658888889
250,Ike12,Ike18,1085.7331086111112
251,Ike18,Ike12,1086.2112133333333
252,Ike18,Ike10,1107.8771272222223
253,Ike10,Ike18,1111.7194769444445
254,Ike13,Ike17,1148.5975575
255,Ike09,Ike18,1149.1159752777778
256,Ike17,Ike13,1149.3088138888888
257,Ike13,Ike17,1149.3289255555555
258,Ike09,Ike18,1150.9504566666667
259,Ike18,Ike09,1150.9763855555555
260,Ike09,Ike18,1150.9865255555555
261,Ike09,Ike18,1151.0327144444445
262,Ike18,Ike09,1151.0479416666667
263,Ike09,Ike18,1151.0670663888889
264,Ike09,Ike18,1151.0743922222223
265,Ike18,Ike09,1151.0898825
266,Ike09,Ike18,1151.107655
267,Ike18,Ike09,1151.1245294444445
268,Ike09,Ike18,1151.3484672222223
269,Ike18,Ike09,1151.3620175
270,Ike03,Ike17,1151.48849
271,Ike17,Ike03,1154.6044283333333
272,Ike12,Ike08,1157.8405702777777
273,Ike11,Ike13,1157.9855447222221
274,Ike13,Ike17,1168.9784719444444
275,Ike13,Ike11,1169.4683177777779
276,Ike09,Ike18,1170.2242547222222
277,Ike18,Ike09,1170.2394294444443
278,Ike09,Ike18,1170.346225
279,Ike15,Ike13,1172.2232697222223
280,Ike13,Ike15,1172.3916405555556
281,Ike11,Ike16,1174.7121547222223
282,Ike22,Ike02,1175.448075
283,Ike02,Ike22,1175.4949386111111
284,Ike22,Ike02,1175.5279655555555
285,Ike02,Ike22,1175.563831388889
286,Ike22,Ike02,1175.5943775
287,Ike02,Ike22,1175.6281738888888
288,Ike22,Ike02,1175.7082458333334
289,Ike02,Ike22,1175.7938680555555
290,Ike22,Ike02,1175.835938611111
291,Ike22,Ike16,1175.8532688888888
292,Ike22,Ike02,1175.8779113888888
293,Ike16,Ike22,1175.8869202777778
294,Ike02,Ike22,1175.8922894444445
295,Ike02,Ike22,1175.9047716666666
296,Ike22,Ike15,1175.9302797222222
297,Ike18,Ike22,1176.4730016666667
298,Ike15,Ike22,1176.7143102777777
299,Ike15,Ike08,1180.34027
300,Ike08,Ike15,1180.577335
301,Ike11,Ike02,1193.8410119444445
302,Ike22,Ike02,1194.7075322222222
303,Ike02,Ike22,1194.7811769444445
304,Ike22,Ike02,1195.0614308333334
305,Ike22,Ike02,1195.0878061111111
306,Ike02,Ike22,1195.0911775
307,Ike11,Ike13,1195.535813888889
308,Ike17,Ike02,1196.2315630555556
309,Ike02,Ike17,1196.7204194444444
310,Ike13,Ike11,1225.9461994444443
311,Ike18,Ike12,1227.1922275
312,Ike12,Ike18,1227.357586111111
313,Ike15,Ike13,1247.5133175
314,Ike15,Ike09,1247.854408611111
315,Ike18,Ike09,1248.2027344444443
316,Ike09,Ike18,1248.3692058333334
317,Ike18,Ike09,1248.3924091666668
318,Ike09,Ike18,1248.4136472222222
319,Ike09,Ike15,1249.7543758333334
320,Ike09,Ike18,1249.8173255555555
321,Ike18,Ike09,1267.3597030555557
322,Ike16,Ike06,1277.5055752777778
